Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Data Prezzo;Prezzo
UD;2011;4;3;03/04/2011;26 aprile 2011;266
RM;2011;4;3;03/04/2011;26 aprile 2011;266
TO;2011;4;3;03/04/2011;26 aprile 2011;269
VR;2011;4;3;03/04/2011;26 aprile 2011;271,5
PD;2011;4;3;03/04/2011;26 aprile 2011;273,5
TV;2011;4;3;03/04/2011;26 aprile 2011;275
BO;2011;4;3;03/04/2011;26 aprile 2011;275
MI;2011;4;3;03/04/2011;26 aprile 2011;279,5
NA;2011;4;3;03/04/2011;26 aprile 2011;
GR;2011;4;3;03/04/2011;26 aprile 2011;
FI;2011;4;4;04/04/2011;03 maggio 2011;222,5
PG;2011;4;4;04/04/2011;03 maggio 2011;246,6
UD;2011;4;4;04/04/2011;03 maggio 2011;266
TO;2011;4;4;04/04/2011;03 maggio 2011;269
RM;2011;4;4;04/04/2011;03 maggio 2011;269
PD;2011;4;4;04/04/2011;03 maggio 2011;273,5
BO;2011;4;4;04/04/2011;03 maggio 2011;275
MI;2011;4;4;04/04/2011;03 maggio 2011;283,5
VR;2011;4;4;04/04/2011;03 maggio 2011;
TV;2011;4;4;04/04/2011;03 maggio 2011;
NA;2011;4;4;04/04/2011;03 maggio 2011;
AL;2011;4;4;04/04/2011;03 maggio 2011;
GR;2011;4;4;04/04/2011;03 maggio 2011;
PG;2011;5;1;01/05/2011;12 maggio 2011;246,6
AL;2011;5;1;01/05/2011;12 maggio 2011;260
UD;2011;5;1;01/05/2011;12 maggio 2011;261
TO;2011;5;1;01/05/2011;12 maggio 2011;264
RM;2011;5;1;01/05/2011;12 maggio 2011;266
PD;2011;5;1;01/05/2011;12 maggio 2011;269,5
VR;2011;5;1;01/05/2011;12 maggio 2011;271,5
BO;2011;5;1;01/05/2011;12 maggio 2011;273
TV;2011;5;1;01/05/2011;12 maggio 2011;275
MI;2011;5;1;01/05/2011;12 maggio 2011;280,5
FI;2011;5;1;01/05/2011;12 maggio 2011;
NA;2011;5;1;01/05/2011;12 maggio 2011;
GR;2011;5;1;01/05/2011;12 maggio 2011;
FI;2011;5;2;02/05/2011;18 maggio 2011;220
PG;2011;5;2;02/05/2011;18 maggio 2011;247,1
AL;2011;5;2;02/05/2011;18 maggio 2011;257
UD;2011;5;2;02/05/2011;18 maggio 2011;261
TO;2011;5;2;02/05/2011;18 maggio 2011;264
RM;2011;5;2;02/05/2011;18 maggio 2011;266,5
PD;2011;5;2;02/05/2011;18 maggio 2011;268,5
VR;2011;5;2;02/05/2011;18 maggio 2011;269,5
BO;2011;5;2;02/05/2011;18 maggio 2011;273
TV;2011;5;2;02/05/2011;18 maggio 2011;275
MI;2011;5;2;02/05/2011;18 maggio 2011;
NA;2011;5;2;02/05/2011;18 maggio 2011;
GR;2011;5;2;02/05/2011;18 maggio 2011;
FI;2011;5;3;03/05/2011;25 maggio 2011;220,5
PG;2011;5;3;03/05/2011;25 maggio 2011;221,1
AL;2011;5;3;03/05/2011;25 maggio 2011;257
UD;2011;5;3;03/05/2011;25 maggio 2011;261
RM;2011;5;3;03/05/2011;25 maggio 2011;266,5
