Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Prezzo
FI;2012;3;5;05/03/2012;179,5
FI;2012;4;1;01/04/2012;179,5
FI;2012;4;2;02/04/2012;179,5
FI;2012;4;3;03/04/2012;179,5
FI;2012;5;1;01/05/2012;182,5
FI;2012;5;2;02/05/2012;182,5
FI;2012;5;3;03/05/2012;180,5
FI;2012;5;4;04/05/2012;180,5
FI;2012;5;5;05/05/2012;180,5
FI;2012;6;1;01/06/2012;178,5
FI;2012;6;2;02/06/2012;
FI;2012;6;3;03/06/2012;
FI;2012;6;4;04/06/2012;188
FI;2012;7;1;01/07/2012;194
FI;2012;7;2;02/07/2012;200
FI;2012;7;3;03/07/2012;210
FI;2012;7;4;04/07/2012;212
FI;2012;8;1;01/08/2012;215
FI;2012;8;4;04/08/2012;225
FI;2012;8;5;05/08/2012;225
FI;2012;9;1;01/09/2012;225
FI;2012;9;2;02/09/2012;225
FI;2012;9;3;03/09/2012;225
FI;2012;9;4;04/09/2012;223
FI;2012;10;1;01/10/2012;223
FI;2012;10;2;02/10/2012;223
FI;2012;10;3;03/10/2012;223
FI;2012;10;4;04/10/2012;223
FI;2012;11;1;01/11/2012;223
FI;2012;11;2;02/11/2012;227
FI;2012;11;3;03/11/2012;230
FI;2012;11;4;04/11/2012;230
FI;2012;11;5;05/11/2012;234
FI;2012;12;1;01/12/2012;234
FI;2012;12;2;02/12/2012;234
FI;2012;12;3;03/12/2012;
FI;2013;1;1;01/01/2013;232
FI;2013;1;2;02/01/2013;230
FI;2013;1;3;03/01/2013;229
FI;2013;1;4;04/01/2013;227
FI;2013;1;5;05/01/2013;223
FI;2013;2;1;01/02/2013;221
FI;2013;2;2;02/02/2013;217
FI;2013;2;3;03/02/2013;215
FI;2013;2;4;04/02/2013;213
FI;2013;3;1;01/03/2013;211
FI;2013;3;2;02/03/2013;201
FI;2013;3;3;03/03/2013;212
FI;2013;3;4;04/03/2013;
FI;2013;4;1;01/04/2013;217
FI;2013;4;2;02/04/2013;220
FI;2013;4;3;03/04/2013;223
FI;2013;4;4;04/04/2013;223
FI;2013;5;1;01/05/2013;223
FI;2013;5;2;02/05/2013;223
FI;2013;5;3;03/05/2013;218
FI;2013;5;4;04/05/2013;216
FI;2013;5;5;05/05/2013;214
FI;2013;6;1;01/06/2013;
FI;2013;6;2;02/06/2013;
FI;2013;6;3;03/06/2013;
FI;2013;6;4;04/06/2013;
FI;2013;7;1;01/07/2013;
FI;2013;7;2;02/07/2013;172,5
FI;2013;7;3;03/07/2013;171,5
FI;2013;7;4;04/07/2013;169,5
FI;2013;8;1;01/08/2013;169,5
FI;2013;8;4;04/08/2013;
FI;2013;8;5;05/08/2013;169,5
FI;2013;9;1;01/09/2013;169,5
FI;2013;9;2;02/09/2013;169,5
FI;2013;9;3;03/09/2013;168,5
FI;2013;9;4;04/09/2013;166,5
FI;2013;10;1;01/10/2013;232
FI;2013;10;2;02/10/2013;166,5
FI;2013;10;3;03/10/2013;171,5
FI;2013;10;4;04/10/2013;175,5
FI;2013;10;5;05/10/2013;177,5
FI;2013;11;1;01/11/2013;177,5
FI;2013;11;2;02/11/2013;177,5
FI;2013;11;3;03/11/2013;177,5
GR;2011;1;1;01/01/2011;267,66
GR;2011;1;2;02/01/2011;277,66
GR;2011;1;3;03/01/2011;287,66
GR;2011;1;4;04/01/2011;292,66
GR;2011;2;1;01/02/2011;302,66
GR;2011;2;2;02/02/2011;302,66
GR;2011;2;3;03/02/2011;302,66
GR;2011;2;4;04/02/2011;292,66
GR;2011;3;1;01/03/2011;292,66
GR;2011;3;2;02/03/2011;282,66
GR;2011;3;3;03/03/2011;277,66
GR;2011;3;4;04/03/2011;267,66
GR;2011;3;5;05/03/2011;267,66
GR;2011;4;1;01/04/2011;
GR;2011;4;2;02/04/2011;
GR;2011;4;3;03/04/2011;
GR;2011;4;4;04/04/2011;
